Chidamber-Kemerer metrics,sexta, 3 dez 2021 16:27:51 GMT
Class,CBO,DIT,LCOM,NOC,RFC,WMC
org.jabref.gui.fieldeditors.OptionEditorViewModel,7,3,3,2,5,1
org.jabref.gui.fieldeditors.OwnerEditor,12,6,2,0,20,5
org.jabref.gui.fieldeditors.OwnerEditorViewModel,7,3,1,0,6,2
org.jabref.gui.fieldeditors.PaginationEditorViewModel,6,5,2,0,7,3
org.jabref.gui.fieldeditors.PatentTypeEditorViewModel,6,5,2,0,7,3
org.jabref.gui.fieldeditors.PersonsEditor,16,6,3,0,25,5
org.jabref.gui.fieldeditors.PersonsEditorViewModel,10,3,3,0,8,4
org.jabref.gui.fieldeditors.SimpleEditor,17,6,3,1,25,8
org.jabref.gui.fieldeditors.SimpleEditorViewModel,7,3,1,0,3,2
org.jabref.gui.fieldeditors.TextInputControlBehavior,4,1,1,0,35,16
org.jabref.gui.fieldeditors.TypeEditorViewModel,6,5,2,0,7,3
org.jabref.gui.fieldeditors.URLUtil,4,1,3,0,22,15
org.jabref.gui.fieldeditors.UrlEditor,16,6,2,0,25,5
org.jabref.gui.fieldeditors.UrlEditorViewModel,10,3,2,0,15,5
org.jabref.gui.fieldeditors.YesNoEditorViewModel,5,5,2,0,6,3
org.jabref.gui.fieldeditors.contextmenu.DefaultMenu,8,1,1,0,29,7
org.jabref.gui.fieldeditors.contextmenu.EditorContextAction,10,3,1,0,27,5
org.jabref.gui.fieldeditors.contextmenu.EditorMenus,12,1,3,0,29,3
org.jabref.gui.fieldeditors.contextmenu.ProtectedTermsMenu,15,3,1,0,24,6
org.jabref.gui.fieldeditors.contextmenu.ProtectedTermsMenu.AddToProtectedTermsAction,3,3,1,0,8,2
org.jabref.gui.fieldeditors.contextmenu.ProtectedTermsMenu.FormatFieldAction,3,3,1,0,8,2
org.jabref.gui.fieldeditors.contextmenu.ProtectedTermsMenu.ProtectSelectionAction,2,3,1,0,7,2
org.jabref.gui.groups.GroupDescriptions,8,1,2,0,16,16
org.jabref.gui.groups.GroupDialogHeader,5,n/a,2,n/a,2,0
org.jabref.gui.groups.GroupDialogView,18,3,2,0,117,12
org.jabref.gui.groups.GroupDialogView.IkonliCell,1,9,1,0,24,2
